Reviewer,Rating,Variant,Verified,Date,Text
A**a,5,"No Shawl, S",True,2026-02-21 11:22:05,"Product quality: Excellent
Material terbaik, jahitan kemas da byk kali repeat order Design yg berbeza so far da ada 6 Abaya from this seller.. terbaik"
5** F**Y M**T,5,"Shawl, S",True,2026-02-14 22:09:03,"Alhamdulillah..dah selamat terima.
Ini jubah ke 4 dari Arabista...
Packaging exclusive, jubah cantik dan selesa pakai.
Recommended 👍"
N**h A**b,5,M,True,2025-12-26 14:08:17,"kain memang cantik dan selesa.love the design.insyaa Allah akan repeat oder🥰🥰🥰
seller sgt2 friendly. semuga murah rezki"
I**1,5,XXXL,True,2025-12-21 14:42:26,"Dah terima dgn selamat.. packaging cantik dan kemas.. kain dan sulaman sangat cantik .
Insyakallah ada rezeki saya repeat lgi.🥰"
P**n A**n,5,S,True,2024-11-11 14:33:31,Kain sejuk dan lembut. Size ngam itk saya yg berat 54kg tinggi 160cm. Puas hati. Insya Allah akan repeat lagi.
L**🍒,5,M,True,2025-03-10 00:49:11,"Cantik kain berat and jatuh , so ada effect tinggi and kurus"
R**e,4,M,True,2025-01-17 15:25:02,"Packaging mantap
Material superb
Jahitan kemas"
n**ッ,5,XXL,True,2025-01-12 13:43:47,Kain jenis berat .. dada 42 je tpi ambil 1 big saiz .. xL pon okey sbnrnya.. tnggi 175 pakai masih labuh boleh sapu lantai
c**e k**,5,S,True,2024-12-03 19:54:35,"Jubah dah diterima dibungkus dgn baik, siap ada kotak. Kain cantik berat 47 tinggi 153 kena potong sikitlah dlm 2 inci baru ngam . Apa² pun sangat memuasakan terima kasih seller Dan staff J&T"
i**z,5,M,True,2024-10-17 10:41:44,"Alhamdulillah dh sampai ,..
sempat grab masa offer hr tu
cantik ,material flowy , selesa dan terletak je bila pakai insyaAllah boleh repeat lg utk design lain🥰
recommended sgt."
♡**𝓴 𝓡**♡,5,M,True,2025-07-14 15:59:01,Terima Kasih..cantiknya
d**a,5,"Shawl, S",True,2026-02-16 14:49:39,"Abaya arabista cantik2 belaka.yg paling best siap inner lengan skli dijahit,xyah susah2 pakai handsock lg ❤️"
S**z,5,"Shawl, XXL",True,2026-02-12 17:00:18,"Penghantaran yang pantas dan cepat,semlm order hari ni dah sampai..kualiti kain yang bagus."
f**5,4,XXL,True,2025-02-17 13:51:42,Alhamdulilah parcel selamat sampai.kain cantik
F**E,5,S,True,2025-01-02 21:50:43,"Cantik sgt abaya nya, packaging exclusive. Chat dgn seller nak guna sabtu utk dinner, beli selasa, khamis ni da sampai. Terbaik semuanya, seller saran ambil saiz s utk berat 54kg tinggi 159cm. Akn beli lg design lain InsyaAllah"
M**a N**i,5,XXL,True,2024-12-25 23:57:29,"Baju n material sungguh cantik nnt nk beli
lg design yg lain pulak"
