Reviewer,Rating,Variant,Verified,Date,Text
ن**ه,5,XXXL,True,2025-03-06 17:15:09,"masyaaAllah.terlalu cantik dn kemas..teliti part aurat.dah sedia handsock...material nidha 🤍🤍🤍💜size ngam, ambik cun size, kna alter sikit labuh.harga sangat lah murah sbb kualiti tip top.terima kasih seller arabista sbb jual yg secantik ini"
ن**ه,5,M,True,2025-03-06 17:15:09,"masyaaAllah.terlalu cantik dn kemas..teliti part aurat.dah sedia handsock...material nidha 🤍🤍🤍💜size ngam, ambik cun size, kna alter sikit labuh.harga sangat lah murah sbb kualiti tip top.terima kasih seller arabista sbb jual yg secantik ini"
a**n,5,L,True,2025-03-05 23:59:34,"Selalu tgk live tapi ni first time beli. Korang kena try beli satu dlu. Baju ni mmg cantik kain xpanas dan cutting abaya pon cantik. Menyesali beli. Lps ni boleh repeat lagi.
Product quality: Very good"
m**m,5,XS,True,2025-09-03 23:03:18,Alhamdulillah barang diterima dalam keadaan baik. Jubah sgt cantik. Ngam dgn berat 45 tggi 154. Sblm ni ssh nk cari jubah kecil. Material premium amat puas hati. Jahitan manik2 amat kemas dan dpt skali shawl. Tq seller. Xde isu nmpk lengan sbb da siap lengan bgetah bhgian dalam. Sgt mesra pengguna.
M**i S**i,5,L,True,2025-09-10 12:42:11,"baju cantik sgt..material kain sejuk..true size..cuma kena potong sbb labuh sgt..
berat 74 tinggi 157..."
H**y H**h,5,L,True,2025-03-16 10:10:04,Cntik trus detailing superb mcm x kena dgn harga murah dooh ..material kain Nidha flowy ..sy pkai time event Rasmi bersama YABg Toh Puan Negeri Melaka ..dia pun ckp lawaa ..
i**5,5,XXXL,True,2025-12-30 16:38:46,Harap terbaik
**,5,XXL,True,2025-03-14 17:46:11,masya allah lawa gilee❤️❤️🤏
a**😎,5,XXXL,True,2026-01-25 10:59:45,jahitan sgt kemas n cantik.design pon cantik.saiz baju ok cuma labuh sikit
S**S,5,L,True,2026-01-07 15:33:51,"Kain dia lembut ngatz. I prefer sehelai je without “cardigan” sebab dah macam batman pulak bila jalan. Yang batu2 tu mengerlip macam dalam video bila kena lampu. Lurve. Thanks buat jubah labuh 60 inch akhirnya orang tinggi pun boleh pakai. Overall, material dia saya suka. Minimal ironing needed."
s**a,5,XXXL,True,2026-01-01 19:33:06,"Cantik sgt.. buat pakai g kenduri, raya, event ofis. Senang"
