Reviewer,Rating,Variant,Verified,Date,Text
Z**a M**d,5,S,True,2024-12-26 18:01:19,Jubah yang sangat cantik!!!! Masyallah tabarakallah! Maniknya sangat mewah!!! Berbaloi dengan harga
m**m,5,XS,True,2025-09-03 23:03:18,Alhamdulillah barang diterima dalam keadaan baik. Jubah sgt cantik. Ngam dgn berat 45 tggi 154. Sblm ni ssh nk cari jubah kecil. Material premium amat puas hati. Jahitan manik2 amat kemas dan dpt skali shawl. Tq seller. Xde isu nmpk lengan sbb da siap lengan bgetah bhgian dalam. Sgt mesra pengguna.
N**P,5,M,True,2024-09-18 15:02:52,"MaShaa Allah, Tabarakallah, Alhamdulillah 
Cantik sangatttt"
I** C**a,5,S,True,2025-02-11 21:58:22,Thats a lovely abaya. Very heavy material with beads means it’s good. Abaya length suits with my height 166cm in size S. can’t wait to attend occasion with this abaya
c**4,5,S,True,2025-01-08 21:51:38,Cantikkkk sangat. Terletak elok
F**z,5,L,True,2025-09-16 22:02:36,Friendly seller and quick response. Thank you sis.
z**s s**l g**g,5,XXXL,True,2025-04-19 19:55:16,Cantik dn kemas sgt jahitan...saya suka sgt²...dh kali 2 repeat..tq 😘 penghantaran pun sgt pantasm.terbaikkk👍
ن**ت,5,L,True,2025-03-14 16:49:46,first time beli...terus jatuh cinta cantik ya amat...❤️❤️
M** R**a,5,L,True,2025-03-04 21:41:16,"Material bagus, jahitan kemas dan pakai terletak elok ikut size"
Y**a,5,XS,True,2025-03-04 00:32:59,"Baju cantik sangat ,puas hati saya ,laju pulak tuu ,kain pun lembut je❤️"
b**8,5,XXL,True,2024-12-05 21:48:47,Baju flowy dan nampak mewah...cantik bila pakai...berbaloi dengan harga 👍🏻👍🏻👍🏻👍🏻👍🏻
a**d,5,S,True,2024-11-09 18:43:24,"Material best,cantik..cuma saiz S agak labuh sikit utk tinggi 153cm"
A**K C**L,5,XL,True,2024-10-11 23:16:08,"Abaya cantik.material kain sejuk, selesa macam jubah mekah.
Penghantaran cepat.
Layanan seller sangat baik hati."
j**a,5,L,True,2024-10-11 00:02:08,Cantik …. Tapi labuh sangat untuk saya yang 150cm
I**i,5,XL,True,2024-09-22 22:26:11,Utk tggi 154cm mmg labuh sgt...kena potong 2 inci  baru cantik..TU pun meleret lagi ..but kualiti sumpah sgt terbaik..
I**e,5,L,True,2024-09-20 12:08:04,"Kain memang sejuk, lembut dan beralun...saya suka.. nak pakai saya kena alter dulu...sebab labuh .. itu sahaja .."
r**_,5,L,True,2024-09-10 10:00:16,Wehhh dapat dgn shawl n kain sgt berkualiti.mak lurve teruk..harga tu kemain murah lagi
j**n,5,XL,True,2025-11-03 13:30:43,Kali ke 3 beli abaya..sgt berkualiti & murah
W** S**y H**y,4,XL,True,2025-11-16 16:02:24,"Lawa  kain memang sejuk dan selesa dipakai 
Tinggi sy 155 labuh sgt2 
Yg lain okay
Kotak sedikit
Remok apabila diterima td"
I**a,4,S,True,2024-06-22 20:14:42,Cantik sangat. Semua jahit manik. Tapi berat sikit laa haha cantik sukaaaa semua puji cantik baju kitaaa
卂**✺,5,XS,True,2025-11-26 18:09:03,❤️❤️❤️❤️❤️
s**r,5,XXL,True,2025-05-30 21:23:51,I love the classic design. Tqsm
l**o y** m**m m**😜,5,XXL,True,2025-02-27 11:12:21,Size ok..cantik dan berkualiti
W**a W**a,5,M,True,2025-10-02 14:22:48,Alhamdulillah terbaik
Z**n,5,M,True,2025-02-12 22:41:06,Product quality: Terbaik
** M**𐙚,5,XS,True,2025-01-10 20:11:22,Kualitas produk: Banyakkk ok
n**r,5,XXXL,True,2024-12-27 18:13:18,Cantik sangat selesa pakai
M**🌸,5,L,True,2024-12-23 17:59:12,Kain berat dan cantik
v**e,5,M,True,2025-02-16 15:36:42,Fits nicely
h**4,5,M,True,2024-12-20 15:08:47,kualiti terbaik
n**y,5,XL,True,2024-09-24 15:51:19,so cantik😍🤣
l**s,3,L,True,2024-06-15 17:14:24,Kain nida yg sederhana bkn premium
D**r,5,M,True,2025-10-04 19:41:13,.
D**r,5,XS,True,2025-10-04 19:41:13,.
h** r**,5,XXL,True,2025-09-23 17:05:05,.
Z**💞,5,XXXL,True,2025-09-12 17:56:20,🌟👍
d**7,5,S,True,2025-08-22 19:40:19,Niceee
m**4,5,M,True,2025-04-23 08:35:27,🥰
L** G**s 8**,5,S,True,2025-04-12 18:27:19,Good
N**6 ✌**,5,XXL,True,2025-01-09 18:56:30,🫰🏻
A** w**h m** c**l m**👍,5,XL,True,2024-12-23 12:57:19,Kain best
a**r,5,M,True,2024-12-03 01:05:26,Pantas
s**n,5,XL,True,2024-11-26 22:26:00,Terbaik
N**,5,S,True,2024-11-17 19:50:12,Ok
E**4,5,M,True,2024-10-16 17:10:18,Cantik
E**4,5,XS,True,2024-10-16 17:10:18,Cantik
s**,1,L,True,2025-09-24 06:33:13,Size tak standard…. Beli ikut ukuran biasa tapi bila pakai kecik weii
