Reviewer,Rating,Variant,Verified,Date,Text
u**1,5,S,True,2026-04-08 19:55:06,"Thanks seller,item received in good condition and like it and so worth it with the price.For sure next repeated and buy it many more!!! Many time buy with thisseller🥰🥰🥰❤️❤️❤️Seller fast responds & friendly!!!!! 🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻Thank you dear seller & courier for fast shipping & delivered."
z**_,5,M,True,2026-03-14 17:39:37,"Alhamdulillah,Parcel dh selamat smpai.Terima Kasih orang2 baik.Semoga Allah mempermudhkan urusan Kalian🤲Cantik Sgt Materiel Nhida mampu milik.Moga terus Maju.Kuntum Bunga besar2 n termasuk skali kat Shawl(Bidang Besar) Puas Hati🤲🤍"
M**G,5,L,True,2026-06-30 19:19:46,"Jubah cantik
Product quality: Kain selesa sejuk best.."
i**l,5,L,True,2025-03-13 21:02:35,Baju sangt la cantik.. kain berat.. biler pakai nampak kurus.. suke sangt.. tp untuk orang yg rendah x sesuai ye.. sebab die labuh.
M**a,5,L,True,2024-09-29 13:45:01,Kain sedap giler. very flowy. akan repeat lagi. kalau nak longgar better amik i bigger saiz biasa. kalau tidak ngam2.
S**️,5,XXL,True,2026-07-04 21:29:06,xtahu kali ke brapa dah repeat jubah dgn seller nie..so far ok..labuh utk tinggi 168cm.
Z**i,5,M,True,2026-07-02 19:45:31,"Seller terbaik, material kain berat dan warna hitam pekat 👍🏼"
M** d** c**,5,XXL,True,2026-07-01 21:46:38,cantik.kain yg berkualiti.amik XXL ngam2.cuma mmg labuh utk sy sbb sy agak rendah.tinggi 153cm je.Nnt nak kena alter.
💞**s L**💞,5,M,True,2026-06-29 00:07:34,Good quality good product good quality good product good quality
B**🧸,5,L,True,2026-04-08 13:07:16,"TERBAIK
LABUH NGAM
DELIVERY PANTAS
ABCDEFGHIJKLMNOPQRSTUVWX"
A**a,5,M,True,2026-03-15 14:32:50,Semalam order harini dah sampai.. cantik sangat material berat terletak elok..
c**a,5,XL,True,2026-03-04 20:45:03,Cntik sgt terletak saja cuma labuh kena potong sikit..tinggi 160 bb 76 ngam xl
e**a,5,S,True,2025-12-06 18:26:59,"Product quality: cantik sangat ya abya ni, harga sangat2 lah murah dgn quality dia.. Jangan ragu2 nk belii tinggi saya 150cm size S ngam2 cantik bila pakai heels. No need to regrett hehe !!"
N**1,5,XS,True,2024-06-13 13:15:15,"Terbaik.. 
Materialnyer best.. 👍
Fast delivery 
Siap ngan box... Cantikk🥰"
L**a 리**,5,M,True,2026-03-01 22:17:32,Cantik sangat..dah ada 3pasang abaya Arabista.
s**f z**y,5,M,True,2025-05-31 14:30:27,terbaik. respond dan penghantaran yg pantas
A**s,5,M,True,2024-09-29 10:08:31,Puas hati sangat2.. Akan repeat beli lagi. ❤
Z**A,4,M,True,2024-11-15 21:06:09,"Abaya Arabista ke5 saya...saya repeat sebab puashati sangat dgn kualiti abaya...jahitan kemas, kain best, ada sarung lengan di dalam, cuma agak sedikit kecewa kali ni sebab kain tak sama mcm sblm ni. Harap Arabista dapat kekalkan kualiti spt sblm ni. Keep it up."
S**i N**i,5,XS,True,2024-10-11 17:32:47,Love sgt3..kain best...cantik
a**h,5,M,True,2026-07-02 20:00:48,Alhamdulillah repeat order..cantek sgt..sy suka abaya ni sebab ada lengan di dalam tak pelry pakai inner..cantek
u**h,5,M,True,2026-06-29 21:23:49,"Sebelum ni beli saiz L, agak besar sedikit , ni ambil M memang ngam² saiz saya tak perlu alter langsung. 
Tinggi 165 dd38 berat 62kg
Terima kasih."
** ** ** ** ** 🕊**,5,S,True,2026-03-28 09:52:13,baju terlaluuuuu cantik dan selesaaa.. please beli guys sgt berbaloi.. seller pun baikkk sgt selalu bagi free gifttt.. tqsm arabista 💕😚
🪶**ا,5,S,True,2026-03-01 00:52:34,Product quality: Sangat bagus. Jahitan kemas. Material kain memang terbaik.
** R**l H**y,5,XXL,True,2026-01-31 16:26:37,Suka dgn material & design.Harga pun murah cuma kena alter sikit sbb labuh.
M** R**2,5,S,True,2026-01-30 12:48:17,"Material yg sejuk, tidak panas dan selesa.
Memberikan gaya yg eksklusif, ringkas dan boleh dipakai ke majlis ilmu,surau ."
k**,5,XS,True,2026-01-19 19:36:37,Good quality & very comfortable.. love the design this is my 1st abaya from arabista purchased by my mom.. Thanks mom❤️😘
S**a,5,S,True,2026-01-14 10:54:10,Nice material da ada 4 pasang kat RMH....UTK Sy dan anak
A**a N**n **,5,S,True,2025-02-12 19:26:50,"Tersangat la cantikkkkkkkk, in lovee, thanks seller 🥰🥰🥰 berat 49kg tinggi 160, ngam teruk size s 🥰"
Z**0,5,S,True,2025-01-11 09:14:54,sangat cantik dan kauliti kain yang bagus dan selesa
H**,5,XS,True,2024-12-20 15:51:40,"Cantik.. senang siap ada set tudung, takyah fikir dh nk pakai tudung apa. cuma jahitan tepi shawl tu kurang kemas.. boleh diimprove lagi. Thanks
Tinggi - 164 
Berat - 44kg ngam saiz xs"
m**i,5,S,True,2024-12-10 19:26:55,Jubah cantik..kain pon nice cumanye kena pakai inner kat dalam sbb material jarang
n**e,5,M,True,2024-11-19 09:28:52,Alhamdullilah sangat berpuas hati dgn abaya arabista ni.. Tq
h**n,5,XL,True,2024-10-01 17:52:04,"cantik dan berbaloi, cuma labuh bagi ketinggian 154cm, boleh beli lagi love sgt😍 kena perhati ukuran betul2"
R**e,4,L,True,2025-01-17 15:25:02,Recommended
R**e,4,XL,True,2025-01-17 15:25:02,Recommended
🎀**a D**🎀,5,XXXL,True,2025-05-28 18:26:13,Comei dooh ❤️❤️❤️❤️❤️
a**m,5,XXL,True,2026-06-30 15:03:10,Product quality: Comfort n nice
M**r P**h,5,XL,True,2026-06-28 19:45:39,Terrcantik sgt3🥰🥰🥰🥰🥰
Z**n,5,M,True,2025-02-12 22:41:06,Product quality: Jahitan kemas
s**S,5,L,True,2024-12-22 19:33:50,"Butik dimana ya,sebab nk tukar saiz"
R**e,4,XXL,True,2025-01-17 15:25:02,"Material best 
Jahitan kemas
Design cantik"
R**a,4,XL,True,2024-06-11 22:11:08,Meterial kain y best trletak jatuh dan kemas
p**e s**l,3,M,True,2024-09-11 17:48:29,"Thanks seller order is same as post ...
But the scarf/tudung is very Small ...and scarf/tudung clothes is low quality...."
o**e,5,XXL,True,2026-06-30 10:36:03,Product quality: Good
🍫**🍫,5,L,True,2026-02-20 16:36:53,Cntik n sdp pakai... Tq..
A**h G**,5,L,True,2026-01-30 22:58:49,Product quality: High quality
W**🫶,5,M,True,2026-01-29 16:52:23,Product quality: Cantik
f**a,5,M,True,2026-01-06 15:09:47,Kain yg lembut dan sejuk
H**h A**4,5,L,True,2024-12-27 13:57:41,Cantikkkk terbaikkkk
b**o,5,XXXL,True,2024-12-24 13:01:44,Kena iron utk pakai segak2
I**n,5,M,True,2024-12-23 18:56:39,Jubah cantik sangat.
r**_,5,L,True,2024-09-10 10:00:16,Wehh jubah berkualiti weh
j**l,5,M,True,2024-08-31 22:47:10,Kain best sangat.. terbaik
a**a,5,M,True,2024-06-11 18:32:42,"Sangat cantik,material xpanas"
z**a,4,M,True,2025-05-27 18:17:58,Barang sampai dalam keadaan baik
H**a,5,M,True,2026-01-29 19:19:12,Sgt puas hati
“**”,5,XXXL,True,2026-01-05 17:34:31,Terbaikkkkk
M**i,5,XXXL,True,2024-12-15 06:05:27,Cantik dn selesa
S**z,5,S,True,2024-10-04 11:39:41,Nice jubah
n**a,5,M,True,2026-01-11 19:47:15,Terbaik
d**2,5,S,True,2026-01-08 08:38:26,❤️
H**y B**🐝,5,L,True,2026-01-08 04:04:26,Cantik
z**a,5,XXL,True,2026-01-05 21:12:05,❤️
m**4,5,M,True,2025-12-30 11:55:06,.
m**k,5,M,True,2025-01-14 09:24:26,.
ن**🍉,5,M,True,2025-01-08 16:08:22,Best
S**🇾,5,XXL,True,2025-01-05 15:40:34,Cantik
w**h,5,XL,True,2024-12-12 17:50:05,cantik
🌷**🌷,5,M,True,2024-09-14 11:03:43,terbaik
z**r,5,L,True,2024-09-06 10:17:07,nice
I**c,5,XXXL,True,2024-06-11 08:37:31,cantik
Z**💞,5,XXXL,True,2026-07-27 10:50:12,
A**a,5,XXXL,True,2026-07-09 02:06:34,
L**z,5,XXL,True,2026-07-04 13:01:01,
z**,5,M,True,2026-07-03 19:22:51,
.**.,5,L,True,2026-07-02 08:32:28,
A**B,5,S,True,2026-07-01 12:12:29,
z**a,5,L,True,2026-07-01 11:37:17,
H**f,5,S,True,2026-03-22 15:54:17,
D**n,5,XL,True,2026-03-06 14:39:47,
L**n,5,L,True,2026-03-01 05:03:19,
b**r,5,L,True,2026-02-18 10:24:13,
h**2,5,XS,True,2026-02-10 14:14:41,
S**n,5,XL,True,2026-02-07 20:06:00,
F**i,4,XXL,True,2026-07-03 19:31:13,
M** **,4,S,True,2026-03-23 17:12:37,
l**s,3,M,True,2024-06-15 17:14:24,Memuaskan
